userID,originID,destinationID,requestDate
11,64,140,2019-03-06 09:00:00
6,93,110,2019-03-06 13:00:00
8,168,161,2019-03-06 15:00:00
10,46,216,2019-03-06 12:00:00
4,97,107,2019-03-06 12:00:00
5,194,83,2019-03-06 11:30:00
14,222,54,2019-03-06 13:00:00
14,84,50,2019-03-06 10:30:00
1,88,78,2019-03-06 09:30:00
2,47,108,2019-03-06 15:30:00
12,207,91,2019-03-06 13:00:00
11,186,225,2019-03-06 14:30:00
11,80,78,2019-03-06 10:00:00
1,189,179,2019-03-06 16:00:00
1,62,153,2019-03-06 12:00:00
15,83,79,2019-03-06 10:00:00
9,114,139,2019-03-06 15:00:00
15,168,169,2019-03-06 16:30:00
13,164,177,2019-03-06 14:30:00
7,154,75,2019-03-06 15:30:00
5,153,110,2019-03-06 10:00:00
14,122,166,2019-03-06 14:30:00
10,181,203,2019-03-06 14:30:00
8,105,62,2019-03-06 15:30:00
6,112,119,2019-03-06 13:30:00
2,221,209,2019-03-06 15:00:00
6,147,95,2019-03-06 12:30:00
11,59,40,2019-03-06 12:30:00
15,65,110,2019-03-06 16:00:00
11,52,173,2019-03-06 16:30:00
4,104,54,2019-03-06 09:30:00
6,82,43,2019-03-06 10:30:00
1,183,221,2019-03-06 09:00:00
8,185,193,2019-03-06 14:30:00
7,64,209,2019-03-06 14:30:00
6,192,166,2019-03-06 10:30:00
3,172,147,2019-03-06 09:30:00
15,104,158,2019-03-06 13:30:00
5,139,103,2019-03-06 12:00:00
3,153,147,2019-03-06 16:30:00
3,211,170,2019-03-06 11:00:00
7,137,108,2019-03-06 15:30:00
12,142,218,2019-03-06 11:30:00
2,86,233,2019-03-06 12:00:00
5,39,113,2019-03-06 15:30:00
7,56,83,2019-03-06 12:30:00
16,218,50,2019-03-06 09:00:00
9,146,161,2019-03-06 13:30:00
1,144,210,2019-03-06 11:00:00
12,152,102,2019-03-06 12:00:00
2,155,48,2019-03-06 16:00:00
13,104,83,2019-03-06 16:30:00
16,228,196,2019-03-06 11:30:00
16,195,35,2019-03-06 15:00:00
3,225,51,2019-03-06 12:30:00
3,186,233,2019-03-06 10:00:00
6,170,137,2019-03-06 11:30:00
2,67,227,2019-03-06 09:30:00
8,201,117,2019-03-06 10:00:00
1,43,74,2019-03-06 11:00:00
11,128,232,2019-03-06 11:00:00
2,218,191,2019-03-06 13:00:00
16,228,93,2019-03-06 16:00:00
15,188,55,2019-03-06 10:00:00
2,141,146,2019-03-06 15:00:00
7,69,56,2019-03-06 14:30:00
12,109,206,2019-03-06 12:00:00
13,114,121,2019-03-06 13:00:00
2,62,216,2019-03-06 11:00:00
4,92,37,2019-03-06 16:00:00
16,207,38,2019-03-06 15:30:00
16,93,72,2019-03-06 13:00:00
12,93,195,2019-03-06 12:30:00
9,138,40,2019-03-06 13:30:00
8,115,110,2019-03-06 10:30:00
3,89,44,2019-03-06 09:30:00
1,108,97,2019-03-06 10:30:00
12,210,120,2019-03-06 11:30:00
