LON,LAT,STREET,UNIT,CITY,DISTRICT,REGION,POSTCODE,ID,NUMBER,HASH
-79.279537,43.7524893,Blaisdale Rd,,Scarborough,,,,,57,8eede04196f66a24
-79.3530085,43.7769973,Shaughnessy Blvd,,North York,,,,,90X,363b96728adc8be1
-79.4429629,43.6396069,Queen St W,,former Toronto,,,,,1642,348c8ac4554e4002
-79.3611738,43.6469006,Parliament St,,former Toronto,,,,,3,26c1a4838a9c1b60
-79.2840133,43.6869501,Blantyre Ave,,Scarborough,,,,,310,69d542ba8a60e773
-79.3771602,43.7064497,Manor Rd E,,former Toronto,,,,,441,bd7e53db4ab8efea
-79.4185211,43.7328261,Roe Ave,,North York,,,,,184,85007eea3d062209
-79.506163,43.7257569,Chesham Dr,,North York,,,,,14,d628928fdd51e8e9
-79.3440465,43.769158,Village Greenway,,North York,,,,,157,832a7543c3d83897
-79.3996322,43.6493911,Felician Pl,,former Toronto,,,,,2,6944e019dc9041af
-79.4716811,43.7286682,Winston Park Blvd,,North York,,,,,132,3420a11607edab0f
-79.235702,43.7292752,Phyllis Ave,,Scarborough,,,,,131,d7011997b9d526c9
-79.2372573,43.7596211,Ben Alder Dr,,Scarborough,,,,,23,f802a99be5236c6f
-79.231146,43.7600715,Greenbrae Crct,,Scarborough,,,,,84,eb9d6669e58a31f9
-79.3613316,43.8078552,Aspenwood Dr,,North York,,,,,128,0c48d4fd4f929a08
-79.3600472,43.775663,Ravenbury Rd,,North York,,,,,85,f93ed5d63d019b17
-79.5059823,43.6406269,Sunnylea Ave W,,Etobicoke,,,,,45,6430aa4920fdc295
-79.4694886,43.6748959,Weston Rd,,former Toronto,,,,,91,c47e729ec57b87d1
-79.4738699,43.682594,Bicknell Ave,,York,,,,,3,b602a43bd1a331e7
-79.4482314,43.7654093,Brockington Cres,,North York,,,,,27,8ba91f482df519bb
-79.4601879,43.6775302,Blackthorn Ave,,former Toronto,,,,,114,5547070bc1c399f4
-79.4445969,43.6760857,Rosemount Ave,,former Toronto,,,,,178,43b9fafe170fde83
-79.5193048,43.6592674,The Kingsway,,Etobicoke,,,,,232,fedb392fe3e6efed
-79.509928,43.6298717,Yorkview Dr,,Etobicoke,,,,,61,1c65df9ce941a1bb
-79.4873486,43.66435,Morland Rd,,York,,,,,38,5d8b92a5b4c1704e
-79.4393963,43.6507303,Lansdowne Ave,,former Toronto,,,,,301,0696eec57959fb69
-79.4094886,43.7062041,Avenue Rd,,former Toronto,,,,,1069,151453ecd15cfa7b
-79.3407605,43.7419858,Thorn Lane,,North York,,,,,8,9b0963dab341f2df
-79.5437006,43.6991726,Havenridge Dr,,Etobicoke,,,,,12,105b97e46de8abbe
-79.5756305,43.7403425,Benstrow Ave,,Etobicoke,,,,,27,d03c592ba4a99296
-79.2421914,43.7497986,Perivale Cres,,Scarborough,,,,,20,af1532f2dc55f257
-79.3773597,43.7067946,Manor Rd E,,former Toronto,,,,,422,775f94932dcdd7b7
-79.4896559,43.743538,Norman Wesley Way,,North York,,,,,75,2ba8a4ee76c06bf5
-79.4355202,43.7241046,Roberta Dr,,North York,,,,,83,ed7435c5e39509c7
-79.2279302,43.7745019,Brimorton Dr,,Scarborough,,,,,703,0df669ca45e8fc99
-79.2645775,43.7828036,Redbud Cres,,Scarborough,,,,,42,c7a5f7aad07459a2
-79.2579053,43.7220526,Linden Ave,,Scarborough,,,,,116,a631f0101045dbe0
-79.2315221,43.7556903,Eastpark Blvd,,Scarborough,,,,,33,623d2cf28418b145
-79.4371866,43.6881964,Cedric Ave,,York,,,,,150,56071bb0ee122818
-79.5042329,43.6954311,Clouston Ave,,York,,,,,8,32af315a8152cc07
-79.2775319,43.7654376,Jolly Way,,Scarborough,,,,,57,8961515bd0e3807c
-79.2900302,43.8149969,Bellrock Dr,,Scarborough,,,,,20,ed261f60825812cb
-79.397537,43.6726817,Boswell Ave,,former Toronto,,,,,38A,0e5930001c03927a
-79.4686752,43.7623089,Lodestar Rd,,North York,,,,,1540,2cb232dab71e0aca
-79.5455349,43.6933509,Poynter Dr,,Etobicoke,,,,,95,dfbf7c5c097736d0
-79.1390028,43.7736145,Bridgeport Dr,,Scarborough,,,,,18,ac901e389dd1eb19
-79.5100041,43.6009346,Garnett Janes Rd,,Etobicoke,,,,,45,2cde8c943a909959
-79.4244401,43.6619467,Roxton Rd,,former Toronto,,,,,550A,55ef4066b5266552
-79.5044657,43.7075714,Queen's Dr,,North York,,,,,286X,6a8f19e77c8a881f
-79.5326113,43.686323,Sellmar Rd,,Etobicoke,,,,,45,9fec51d74e5c1549
-79.52834,43.5978139,Daisy Ave,,Etobicoke,,,,,68,3f67e7438862d3e8
-79.4976818,43.66165,Grand Park Crt,,York,,,,,9,4145e7bcd4fd829b
-79.5031817,43.6907901,Laxis Ave,,York,,,,,4,e96d9997664812d7
-79.2434061,43.7427474,Savarin St,,Scarborough,,,,,17,991ec1d965e429e5
-79.4221614,43.767949,Betty Ann Dr,,North York,,,,,143,c2572c53d1c480ea
-79.2835582,43.7648522,Wye Valley Rd,,Scarborough,,,,,139,da411f0659396e10
-79.5280506,43.6837443,La Rose Ave,,Etobicoke,,,,,183,2d0e1470349cea6a
-79.2492398,43.7610806,Suraty Ave,,Scarborough,,,,,18,024a2f0f4593edd2
-79.5034431,43.6913689,Tyrone Ave,,York,,,,,5,7e67f72d6aa3e1a9
-79.2649111,43.7069561,North Edgely Ave,,Scarborough,,,,,46,edfff317082a74ca
-79.471733,43.6451426,Ellis Ave,,former Toronto,,,,,249,38e89cd16417bdfc
-79.4978095,43.7234583,Wilson Ave,,North York,,,,,1356,8e5af375c4c76025
-79.3858287,43.7938761,Cummer Ave,,North York,,,,,585,1e1277a36da79730
-79.3639456,43.6590351,Regent St,,former Toronto,,,,,57,5ecd1d4ef5e1e902
-79.4991377,43.7587934,Sentinel Rd,,North York,,,,,367,e1522735a64fda59
-79.4628596,43.7636933,Evanston Dr,,North York,,,,,31,ff0b4599f695e3b7
-79.4475288,43.6600181,Paton Rd,,former Toronto,,,,,122,d2d3dac9af0aff4a
-79.3685536,43.6477668,Albert Franck Pl,,former Toronto,,,,,17,f5300326bcb7a685
-79.3194877,43.8179046,Belinda Sq,,Scarborough,,,,,44,c6a3f4378b74bcce
-79.4487811,43.6778132,Nairn Ave,,former Toronto,,,,,39,fb457dab2098168b
-79.545006,43.7162496,Hadrian Dr,,Etobicoke,,,,,105,32f73fb12f16ab62
-79.3016887,43.6847839,Enderby Rd,,former Toronto,,,,,101,d6715cb82052a4b7
-79.3287717,43.6847002,Glebeholme Blvd,,former Toronto,,,,,219,65071fee45fc661e
-79.4452531,43.6800897,Ascot Ave,,former Toronto,,,,,26,7abfaa637777abf3
-79.5097366,43.6441313,Royal York Rd,,Etobicoke,,,,,873,d35ee43f576a7729
-79.2888167,43.7674131,Mondeo Dr,,Scarborough,,,,,103,e1e8edb356310322
-79.4561976,43.7101109,Playfair Ave,,North York,,,,,37,1e053f501d4eb733
-79.5053081,43.7250904,Richard Clark Dr,,North York,,,,,258,ef00d1897e138d76
-79.5731728,43.7548828,Rowntree Mill Rd,,North York,,,,,58,18403afc808f162e
-79.2795276,43.6952568,Robinson Ave,,Scarborough,,,,,47,66c2dce5103aad9c
-79.5517285,43.7371067,Attercliff Crt,,Etobicoke,,,,,2,715a6783d99b0c19
-79.3508827,43.7320887,Veery Pl,,North York,,,,,1,65d863997ed5b313
-79.4524562,43.6666991,Perth Ave,,former Toronto,,,,,431,cc72a9bd24302a31
-79.2867301,43.6715305,Beech Ave,,former Toronto,,,,,33,941469e344ea267a
-79.3146025,43.7822962,Acara Crt,,Scarborough,,,,,22,6fb6197247797d1d
-79.3322612,43.685235,Milverton Blvd,,former Toronto,,,,,242,5d1be0324931ff14
-79.29108,43.7145588,Clairlea Cres,,Scarborough,,,,,17,0b7141ba25638cab
-79.4630745,43.7090824,Playfair Ave,,North York,,,,,114,5419c1aacd4f0c2f
-79.4060579,43.7738689,Norton Ave,,North York,,,,,122,c63fdf79814234e7
-79.441974,43.6571071,Lansdowne Ave,,former Toronto,,,,,609,183863726bde625a
-79.2497879,43.733397,Ordway Rd,,Scarborough,,,,,31,b366a98b653ae001
-79.4410998,43.6966149,Lanark Ave,,York,,,,,41,686cf232208e73b0
-79.3067357,43.6938266,Crewe Ave,,East York,,,,,41,87d54ec6cb46f0c2
-79.4494377,43.6742243,Lansdowne Ave,,former Toronto,,,,,1361,bd153dda9e6ed539
-79.2528362,43.763756,Amberdale Dr,,Scarborough,,,,,41,3304e9da897198b7
-79.4005791,43.6802683,Poplar Plains Cres,,former Toronto,,,,,29,558bd9eb6d091b2a
-79.3908565,43.7049963,Hillsdale Ave E,,former Toronto,,,,,234,be57f3f90b17b54d
-79.4672744,43.7105772,Marcia Ave,,North York,,,,,36,930b47037a208f0f
-79.4233642,43.7242852,Woburn Ave,,North York,,,,,584,29f7c1832f407ac5
-79.4420619,43.6537922,St Helen's Ave,,former Toronto,,,,,141,fbd5245aff8921ad
-79.5233127,43.74931,Firgrove Cres,,North York,,,,,144,15bb05817d573f84
-79.2317131,43.7543549,Felicity Dr,,Scarborough,,,,,33,c63b4020d7026bf2
-79.4197742,43.7562945,Florence Ave,,North York,,,,,192,c069eadf1f2935e7
-79.4951332,43.688332,Sunnybrae Cres,,York,,,,,7,42ab715ba9a50281
-79.4110243,43.6521683,Manning Ave,,former Toronto,,,,,227,e0229f50144c19d4
-79.3300357,43.6702614,Gerrard St E,,former Toronto,,,,,1231,7c637317080fa997
-79.1392549,43.7952933,Donshire Crt,,Scarborough,,,,,76,e44bdd30e5676295
-79.4897607,43.6821778,Greendale Ave,,York,,,,,7,eb33d1acefeab4e3
-79.3407212,43.7697016,Nebula Starway,,North York,,,,,11,a015ebf1446e695a
-79.5062984,43.7400678,Thurrock Rd,,North York,,,,,58,f21b53accaec42aa
-79.2545939,43.7621971,Amberdale Dr,,Scarborough,,,,,6,c97fe4a674c983aa
-79.3986578,43.6449419,King St W,,former Toronto,,,,,552,c2761849519275cf
-79.523516,43.7611139,Hullmar Dr,,North York,,,,,30,48e12b99a64b5e80
-79.2888592,43.7675089,Mondeo Dr,,Scarborough,,,,,121,653db73a4b5814da
-79.4592586,43.7056803,Glencairn Ave,,North York,,,,,1135,ba46d5a1a9cb9768
-79.1992424,43.7614592,Overture Rd,,Scarborough,,,,,60,cc678b618ebc5f3d
-79.1349981,43.7822188,Winter Gardens Trl,,Scarborough,,,,,123,df6f82c132ec6dbc
-79.1705286,43.8066254,Braymore Blvd,,Scarborough,,,,,260,b8557f80c45c1d10
-79.3527995,43.6643385,Hamilton St,,former Toronto,,,,,205,7a7bef0003adeb69
-79.4844506,43.681794,Langden Ave,,York,,,,,16,923e448d50c01af3
-79.327716,43.6804046,Gillard Ave,,former Toronto,,,,,156,ecfc9417b26bba88
-79.2890489,43.8273796,Scoville Sq,,Scarborough,,,,,76,c4d2044d35d2812a
-79.4051697,43.7034842,Oriole Pkwy,,former Toronto,,,,,461,543a1114621ebe01
-79.2507582,43.7040206,Cliffside Dr,,Scarborough,,,,,55,35c51e127af8467e
-79.4479598,43.6992743,Hopewell Ave,,York,,,,,471,fc42e97d82de213e
-79.455041,43.7057304,Tycos Dr,,North York,,,,,60,a955ecb08f396f5e
-79.3932113,43.7301767,Braeside Rd,,former Toronto,,,,,23,258997ef18870d04
-79.4384766,43.6694374,Geary Ave,,former Toronto,,,,,215,a45ebf9955b0f6f1
-79.3976946,43.6755485,Pears Ave,,former Toronto,,,,,132,d7b2bf3c44d3f756
-79.569696,43.7106393,Rexdale Blvd,,Etobicoke,,,,,165,b3244dbd009a5bcd
-79.2219916,43.7718602,Painted Post Dr,,Scarborough,,,,,411,31900297008fdab9
-79.4151011,43.6589585,Clinton St,,former Toronto,,,,,185,23b4b07629e92a4a
-79.4071385,43.7647189,William Poole Way,,North York,,,,,28,383bd7fbf52ba19d
-79.3780142,43.8032104,Mintwood Dr,,North York,,,,,70,7ae2ce911795df7a
-79.3164253,43.786399,Ridgecrest Dr,,Scarborough,,,,,36,876b99735b81467a
-79.5642619,43.7552762,Rubydale Gdns,,North York,,,,,27,ab38fa6680b2c22f
-79.4337848,43.7310659,Neptune Dr,,North York,,,,,21,b4b1554d79208d8d
-79.5295834,43.6610875,Bromley Cres,,Etobicoke,,,,,12,0610b9e365a9de18
-79.475054,43.6721639,Viella St,,former Toronto,,,,,79,f6ab88fd46fa1b74
-79.4088261,43.7043252,Eglinton Ave W,,former Toronto,,,,,319,74729fedc40f1370
-79.3275603,43.6862408,Milverton Blvd,,former Toronto,,,,,354,4e2175c670d25e23
-79.3089933,43.7055627,Glenwood Cres,,East York,,,,,198,2cbb15882f24bb25
-79.4631398,43.6599486,Hillsview Ave,,former Toronto,,,,,15,8f812cfe120d7b6b
-79.3984416,43.6919085,Lonsdale Rd,,former Toronto,,,,,42,1432b8d9dbd9bca5
-79.4618953,43.663125,Indian Grv,,former Toronto,,,,,445,bad1e549d30c9b77
-79.5192706,43.6783403,Whitecroft Pl,,Etobicoke,,,,,1,51094bddcccfa315
-79.3696737,43.6991915,Sutherland Dr,,East York,,,,,33,17b1d6f367388016
-79.5775264,43.665421,Hollister Rd,,Etobicoke,,,,,20,17898ecdde09254c
-79.5539593,43.6913156,Nugent Rd,,Etobicoke,,,,,32,16a69a8ed5d39e83
-79.2527023,43.736625,Bimbrok Rd,,Scarborough,,,,,20,52908f2c90f7d987
-79.4614289,43.7117518,Euphrasia Dr,,North York,,,,,36,cc6c35defda24803
-79.5069652,43.6979882,Sam Frustaglio Dr,,North York,,,,,44,e64306cfdcf32ada
-79.5608452,43.754387,Cherrylawn Ave,,North York,,,,,98,4c00302c5594a7c0
-79.333624,43.7952494,Apache Trl,,North York,,,,,148,d6e81ff42e32cac4
-79.4754938,43.6891297,Yarrow Rd,,York,,,,,63,0107af8cf0be3c08
-79.4170641,43.6785961,Burnside Dr,,former Toronto,,,,,8,1e6a2a89fe3c12b5
-79.4514936,43.7511855,Faywood Blvd,,North York,,,,,270,737113623e59e00b
-79.5295781,43.5973067,Twenty Ninth St,,Etobicoke,,,,,44,35ecad986d8bba95
-79.4998537,43.6189681,Royal York Rd,,Etobicoke,,,,,392,8ea5fc29fdaaf812
-79.3203859,43.6902275,Glebemount Ave,,East York,,,,,158C,68283bf3df2e14f2
-79.480877,43.6454825,Armadale Ave,,former Toronto,,,,,31,35467a0b81d4cbb8
-79.2001356,43.7457873,Earswick Dr,,Scarborough,,,,,33,965a8f18f4dac68c
-79.3810307,43.7024637,Forman Ave,,former Toronto,,,,,71,628375a2697ee24d
-79.4964783,43.6941453,Touchstone Dr,,North York,,,,,69,55e4b0ceae3e8c73
-79.3373404,43.6865488,Sammon Ave,,East York,,,,,266,67a8f53fbe6ddf9a
-79.3966805,43.6766475,Roxborough St W,,former Toronto,,,,,165,cf47d78456e762c7
-79.3743509,43.6861175,St Andrews Gdns,,former Toronto,,,,,52,39842c8778a40347
-79.3910667,43.7444159,Birchwood Ave,,North York,,,,,14,5e1ea2e2a5bebe18
-79.1532345,43.7863517,Cherrydale Crt,,Scarborough,,,,,53,ce5e84b0a8e2fad8
-79.3395557,43.6603801,Carlaw Ave,,former Toronto,,,,,169,1a88c027e9331944
-79.3788495,43.8024964,Mintwood Dr,,North York,,,,,22,9e5b678829b33ed2
-79.3233498,43.689042,Woodington Ave,,East York,,,,,154,6a9de7b6d1f1a8c3
-79.350372,43.6737397,Grandview Ave,,former Toronto,,,,,10,ae66c59be3f95a65
-79.3145488,43.6781719,Gerrard St E,,former Toronto,,,,,1809,13790334e9da76db
-79.4329607,43.6882805,Winnett Ave,,York,,,,,162,326ac30fe118b7ab
-79.5730779,43.6457008,Botley Rd,,Etobicoke,,,,,8,085a57a8ba5a6e06
-79.3052744,43.7684483,Carthage Ave,,Scarborough,,,,,15,f90d39fd3b98e004
-79.4881676,43.740059,Maryport Ave,,North York,,,,,32,e30b89cb72275bed
-79.4294057,43.6818182,Arlington Ave,,York,,,,,144,8ad8f662cb664e0f
-79.4250511,43.6385123,Fraser Ave,,former Toronto,,,,,80,d760ceb62562b072
-79.2751236,43.7453731,Radnor Ave,,Scarborough,,,,,19,207c3f0981762891
-79.3774862,43.7150269,Bayview Ave,,East York,,,,,1863,147f43bb3ffd7f4c
-79.3940491,43.7295084,Kappele Ave,,former Toronto,,,,,22,a5da108703f972e4
-79.3892904,43.7790271,Sumner Heights Dr,,North York,,,,,5,466053600b38e306
-79.4554627,43.6796988,McRoberts Ave,,former Toronto,,,,,156,58e0659e428372ea
-79.4147198,43.6427883,Adelaide St W,,former Toronto,,,,,911A,0634685875143df9
-79.4275753,43.6354577,Tyndall Ave,,former Toronto,,,,,27,46953110ff7e1797
-79.3290996,43.7263285,Wynford Dr,,North York,,,,,123,b7f37335cba3ec27
-79.4595137,43.7858288,Stillwater Cres,,North York,,,,,33,333a6a92f2893ab0
-79.1732229,43.8084738,Hedge End Rd,,Scarborough,,,,,29,5591d78d803fa994
-79.3234667,43.6671257,Kerr Rd,,former Toronto,,,,,64,dca010d96e6b59ef
-79.3914954,43.7392709,Knightswood Rd,,North York,,,,,31,fab7c43840e43d0d
-79.4438558,43.6834891,Westmount Ave,,York,,,,,287,4eba6d24ac1591b9
-79.368613,43.6516565,Sherbourne St,,former Toronto,,,,,56,f26e0356fecaa1da
-79.3993986,43.7953538,Newton Dr,,North York,,,,,233,92c1554e43ba0782
-79.3828474,43.739241,Bayview Ave,,North York,,,,,2438,6c5fd24aeee15b09
-79.1843677,43.7929307,Canmore Blvd,,Scarborough,,,,,7,7bfe0fe44e2eea28
-79.3085919,43.7507432,Lynvalley Cres,,Scarborough,,,,,69,54b7ae4a5b0ece99
