LON,LAT,NUMBER,CITY,DISTRICT,REGION,POSTCODE,ID,STREET,UNIT,HASH,ADDRESS
-74.3513947,40.8269871,23,EAST HANOVER,,NJ,7936,,WALNUT TER,,90fba72c8ad4bb0e,"23 WALNUT TER, EAST HANOVER, NJ"
-74.4106124,40.7243779,22,CHATHAM,,NJ,7928,,STAFFORD RD,,a07ad5aae421bf7a,"22 STAFFORD RD, CHATHAM, NJ"
-74.4793185,40.7360532,95,NEW VERNON,,NJ,7976,,PLEASANTVILLE RD,,42a5fc1a58c16fe5,"95 PLEASANTVILLE RD, NEW VERNON, NJ"
-74.5717952,40.8692521,44,RANDOLPH,,NJ,7869,,CENTER GROVE RD,APT S34,f4fc60d916d69e54,"44 CENTER GROVE RD, RANDOLPH, NJ"
-74.3120897,40.9723601,1308,POMPTON PLAINS,,NJ,7444,,BEDFORD DR,,cd2baf2c7379fc44,"1308 BEDFORD DR, POMPTON PLAINS, NJ"
-74.7034075,40.8163205,44,FLANDERS,,NJ,7836,,DEER PATH DR,,389b377ac77c9af3,"44 DEER PATH DR, FLANDERS, NJ"
-74.548382,40.8342143,31,RANDOLPH,,NJ,7869,,FORREST RD,,1e73869effbb941e,"31 FORREST RD, RANDOLPH, NJ"
-74.5552238,40.8781111,17,DOVER,,NJ,7801,,PENN AVE,,d10ac7966bdf22ee,"17 PENN AVE, DOVER, NJ"
-74.4477543,40.9420376,20,BOONTON,,NJ,7005,,TIMBER TRL,,90cb807d16a083b8,"20 TIMBER TRL, BOONTON, NJ"
-74.5481007,40.8756464,309,DOVER,,NJ,7801,,WASHINGTON ST,APT P16,499baf7f71484783,"309 WASHINGTON ST, DOVER, NJ"
-74.4022619,40.7804507,12,FLORHAM PARK,,NJ,7932,,MURPHY CIR,,8cb5f5e6d210747e,"12 MURPHY CIR, FLORHAM PARK, NJ"
-74.4633929,40.7335786,38,NEW VERNON,,NJ,7976,,WOODLAND RD,,dff3061973a8b90c,"38 WOODLAND RD, NEW VERNON, NJ"
-74.3650491,40.8929393,136,MONTVILLE,,NJ,7045,,CHANGE BRIDGE RD,,47eec5c8781aaf37,"136 CHANGE BRIDGE RD, MONTVILLE, NJ"
-74.386016,40.7402204,1,CHATHAM,,NJ,7928,,FRONT ST,,6f33b15062bfbfc6,"1 FRONT ST, CHATHAM, NJ"
-74.5363092,40.884624,437,DOVER,,NJ,7801,,RT 46 W,,dfaad8a3d9647587,"437 RT 46 W, DOVER, NJ"
-74.6110419,40.9874184,2,LAKE HOPATCONG,,NJ,7849,,BRIGHTS POINT RD,,b783525486cb7c0c,"2 BRIGHTS POINT RD, LAKE HOPATCONG, NJ"
-74.3400321,40.9911477,1230,BUTLER,,NJ,7405,,RT 23 N,,57c3a28978c4c9d7,"1230 RT 23 N, BUTLER, NJ"
-74.4459552,40.8240523,914,CEDAR KNOLLS,,NJ,7927,,RED OAK CT,,76da0e318e75f32f,"914 RED OAK CT, CEDAR KNOLLS, NJ"
-74.5849678,40.9104331,22148,WHARTON,,NJ,7885,,WEST VW,,a4edde7db7ba8ce8,"22148 WEST VW, WHARTON, NJ"
