"WR      1100 1215 REXT 320 (Class)
F       0800 0915 REXT 119 (Lab)
F       0930 1045 REXT 119 (Lab)"
WF      1530 1645 JAMES 3091A (Class)
"WF      1230 1345 VCTRIA 306 (Class)
W       1700 1815 REXT 141 (Class)
W       1830 1945 REXT 141 (Class)"
WF      1230 1345 ROBSON 312 (Class)
WF      1230 1345 BUSN 303 (Class)
WF      1230 1345 301HGH 216 (Class)
WF      1100 1215 SCIENC 218 (Class)
WF      1100 1215 ROBSON 312 (Class)
"WF      1100 1215 ROBSON 310 (Lecture)
R       1530 1645 SCIENC 232 (Lab)
R       1700 1815 SCIENC 232 (Lab)"
WF      1100 1215 BUSN 303 (Class)
WF      1100 1215 BUSN 221 (Class)
WF      1100 1215 BUSN 103 (Class)
WF      1100 1215 BUNCE 104 (Class)
WF      0930 1045 ROBSON 325 (Class)
"WF      0930 1045 ROBSON 324 (Lecture)
R       1100 1215 SCIENC 232 (Lab)
R       1230 1345 SCIENC 232 (Lab)"
WF      0930 1045 JAMES 3114 (Class)
WF      0930 1045 BUSN 303 (Class)
WF      0930 1045 BUSN 221 (Class)
WF      0800 0915 WILSON 207 (Class)
"WF      0800 0915 SCIENC 151 (Lecture)
R       0800 0915 SCIENC 336 (Lab)
R       0930 1045 SCIENC 336 (Lab)"
WF      0800 0915 ROBSON 325 (Class)
WF      0800 0915 BUSN 103 (Class)
W       2000 2115 WILSON 164 (Class)
"W       2000 2115 SCIENC 254 (Class)
W       2130 2245 SCIENC 254 (Class)
   "
"W       2000 2115 ROBSON 102 (Class)
W       2130 2245 ROBSON 102 (Class)"
"W       2000 2115 JAMES 2096 (Class)
W       2130 2245 JAMES 2096 (Class)"
"W       2000 2115 JAMES 1019 (Class)
W       2130 2245 JAMES 1019 (Class)"
W       2000 2050 WILSON 156 (Class)
W       1945 2215 JAMES 2100 (Class)
W       1945 2215 JAMES 2099 (Class)
W       1945 2215 JAMES 1119 (Class)
W       1900 2040 REXT 321 (Class)
W       1900 2040 JAMES 1081 (Class)
W       1830 2010 JAMES 2110 (Class)
"W       1830 1945 WINANS 113 (Class)
W       2000 2115 WINANS 113 (Class)"
"W       1830 1945 WINANS 112 (Class)
W       2000 2115 WINANS 112 (Class)"
"W       1830 1945 WINANS 111 (Class)
W       2000 2115 WINANS 111 (Class)"
"W       1830 1945 WILSON 207 (Class)
W       2000 2115 WILSON 207 (Class)"
W       1830 1945 WILSON 107 (Class)
"W       1830 1945 WILSON 105 (Class)
W       2000 2115 WILSON 105 (Class)"
"W       1830 1945 WILSON 105 (Class)
W       2000 2115 WILSON 105 (Class)"
"W       1830 1945 VCTRIA 306 (Class)
W       2000 2115 VCTRIA 306 (Class)
F       0800 0915 REXT 141 (Class)
F       0930 1045 REXT 141 (Class)"
"W       1830 1945 VCTRIA 204 (Class)
W       2000 2115 VCTRIA 204 (Class)"
"W       1830 1945 SCIENC 128 (Class)
W       2000 2115 SCIENC 128 (Class)"
"W       1830 1945 SAVITZ 341 (Class)
W       2000 2115 SAVITZ 341 (Class)"
"W       1830 1945 ROWAN 117 (Class)
W       2000 2115 ROWAN 117 (Class)"
"W       1830 1945 ROWAN 117 (Class)
W       2000 2115 ROWAN 117 (Class)"
"W       1830 1945 ROBSON 325 (Class)
W       2000 2115 ROBSON 325 (Class)"
"W       1830 1945 ROBSON 323 (Class)
W       2000 2115 ROBSON 323 (Class)"
"W       1830 1945 ROBSON 311 (Class)
W       2000 2115 ROBSON 311 (Class)"
"W       1830 1945 ROBSON 308 (Class)
W       2000 2115 ROBSON 308 (Class)"
"W       1830 1945 ROBSON 306 (Class)
W       2000 2115 ROBSON 306 (Class)"
"W       1830 1945 ROBSON 224 (Class)
W       2000 2115 ROBSON 224 (Class)"
"W       1830 1945 ROBSON 212 (Class)
W       2000 2115 ROBSON 212 (Class)"
"W       1830 1945 ROBSON 212 (Class)
W       2000 2115 ROBSON 212 (Class)"
"W       1830 1945 ROBSON 207 (Class)
W       2000 2115 ROBSON 207 (Class)"
"W       1830 1945 ROBSON 201A (Class)
W       2000 2115 ROBSON 201A (Class)"
"W       1830 1945 REXT 320 (Class)
W       2000 2115 REXT 320 (Class)"
"W       1830 1945 REXT 320 (Class)
W       2000 2115 REXT 320 (Class)"
"W       1830 1945 REXT 319 (Class)
W       2000 2115 REXT 319 (Class)"
"W       1830 1945 LBRARY 578 (Class)
W       2000 2115 LBRARY 578 (Class)"
"W       1830 1945 LBRARY 525 (Class)
W       2000 2115 LBRARY 525 (Class)"
"W       1830 1945 LBRARY 401 (Class)
W       2000 2115 LBRARY 401 (Class)"
"W       1830 1945 JAMES 2101 (Class)
W       2000 2115 ROBSON 201B (Class)"
"W       1830 1945 JAMES 2095 (Class)
W       2000 2115 JAMES 2095 (Class)"
"W       1830 1945 JAMES 1115 (Class)
W       2000 2115 JAMES 1115 (Class)"
"W       1830 1945 HAWTHN 204 (Class)
W       2000 2115 HAWTHN 204 (Class)"
"W       1830 1945 ENTPRZ 517 (Class)
W       2000 2115 ENTPRZ 517 (Class)"
"W       1830 1945 ENTPRZ 514 (Class)
W       2000 2115 ENTPRZ 514 (Class)"
"W       1830 1945 ENTPRZ 409 (Class)
W       2000 2115 ENTPRZ 409 (Class)"
"W       1830 1945 BUSN 303 (Class)
W       2000 2115 BUSN 303 (Class)"
"W       1830 1945 BUSN 301 (Class)
W       2000 2115 BUSN 301 (Class)"
"W       1830 1945 BUSN 235 (Class)
W       2000 2115 BUSN 235 (Class)"
"W       1830 1945 BUSN 233 (Class)
W       2000 2115 BUSN 233 (Class)"
"W       1830 1945 BUSN 227 (Class)
W       2000 2115 BUSN 227 (Class)"
"W       1830 1945 BUSN 225 (Class)
W       2000 2115 BUSN 225 (Class)"
"W       1830 1945 BUSN 223 (Class)
W       2000 2115 BUSN 223 (Class)"
"W       1830 1945 BUSN 221 (Class)
W       2000 2115 BUSN 221 (Class)"
"W       1830 1945 BUSN 208 (Class)
W       2000 2115 BUSN 208 (Class)"
"W       1830 1945 BUSN 204 (Class)
W       2000 2115 BUSN 204 (Class)"
"W       1830 1945 BUSN 201 (Class)
W       2000 2115 BUSN 201 (Class)"
"W       1830 1945 BUSN 131 (Class)
W       2000 2115 BUSN 131 (Class)"
"W       1830 1945 BUSN 121 (Class)
W       2000 2115 BUSN 121 (Class)"
"W       1830 1945 BUSN 107 (Class)
W       2000 2115 BUSN 107 (Class)"
"W       1830 1945 BUSN 103 (Class)
W       2000 2115 BUSN 103 (Class)"
"W       1830 1945 BUSN 101 (Class)
W       2000 2115 BUSN 101 (Class)"
"W       1830 1945 BOZ 166 (Class)
W       2000 2115 BOZ 166 (Class)"
"W       1830 1945 BOZ 147 (Class)
W       2000 2115 BOZ 147 (Class)"
"W       1830 1945 BOZ 147 (Class)
W       2000 2115 BOZ 147 (Class)"
"W       1830 1945 BOZ 132 (Class)
W       2000 2115 BOZ 132 (Class)"
"W       1830 1945 301HGH 326 (Class)
W       2000 2115 301HGH 326 (Class)"
"W       1830 1945 301HGH 216 (Class)
W       2000 2115 301HGH 216 (Class)"
